               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.046174,            0.036049,           0.0017647,             0.98405,             0.98542,             0.99153,             0.43484,            0.023753,            0.012319,          0.00069335,           0.0097179,           0.0097179,           0.0097179
                  59,            0.042841,            0.034945,           0.0023466,             0.99566,              0.9918,              0.9949,             0.53128,            0.018668,            0.011328,          0.00066974,           0.0097129,           0.0097129,           0.0097129
                  60,            0.044316,            0.036549,           0.0020204,             0.98681,             0.99275,             0.99441,             0.32694,            0.030455,            0.015449,          0.00064934,            0.009708,            0.009708,            0.009708
                  61,            0.053832,            0.038952,            0.001717,             0.99146,             0.99347,             0.99445,             0.47678,            0.024169,            0.013526,           0.0006836,            0.009703,            0.009703,            0.009703
                  62,            0.049605,             0.03367,           0.0015298,             0.99369,             0.99322,              0.9946,             0.62606,            0.019683,             0.01167,          0.00068842,            0.009698,            0.009698,            0.009698
                  63,            0.044787,            0.033389,           0.0022848,             0.99164,              0.9945,               0.995,              0.4308,            0.027042,            0.012153,          0.00066082,           0.0096931,           0.0096931,           0.0096931
                  64,            0.052883,            0.036247,            0.001629,             0.99565,             0.99569,               0.995,             0.65236,            0.016111,           0.0096676,          0.00072427,           0.0096881,           0.0096881,           0.0096881
                  65,            0.048308,            0.035114,           0.0015288,             0.99277,             0.99489,               0.995,             0.65297,            0.016974,           0.0086723,          0.00067853,           0.0096832,           0.0096832,           0.0096832
                  66,            0.045863,            0.035485,           0.0015358,             0.99469,             0.99329,             0.99499,             0.39639,            0.018771,            0.010247,          0.00065012,           0.0096783,           0.0096783,           0.0096783
                  67,            0.039822,            0.032491,           0.0015827,             0.93227,             0.92961,             0.90445,             0.31679,            0.036199,            0.010405,          0.00058727,           0.0096733,           0.0096733,           0.0096733
                  68,            0.053714,            0.036053,           0.0014328,             0.98571,             0.99107,             0.98863,             0.66435,            0.019957,           0.0087427,          0.00064634,           0.0096684,           0.0096684,           0.0096684
                  69,            0.052766,            0.035075,           0.0020273,             0.98971,             0.99973,             0.99499,             0.60971,            0.015564,            0.010522,          0.00071408,           0.0096634,           0.0096634,           0.0096634
                  70,             0.04365,            0.035303,           0.0017825,               0.992,             0.99871,               0.995,             0.63052,            0.015931,           0.0088467,           0.0007764,           0.0096585,           0.0096585,           0.0096585
